Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area,Index
3 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.29 Cr,1.29 Cr,Salt Lake Kolkata,1097 sqft,Under Construction,2 out of 8,Resale,Unfurnished,North-East,Pool,Silver Oak Residency,4.0,1.0,,Leasehold,1303 sqft,,,688
2 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",73.2 Lac,73.2 Lac,Andheri West Mumbai,582 sqft,Under Construction,Ground out of 2,New Property,Furnished,South,Main Road,Royal Enclave Residency,2.0,0.0,1.0,Freehold,657 sqft,,,689
4 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",91.5 Lac,91.5 Lac,Electronic City Bangalore,922 sqft,Under Construction,3 out of 10,New Property,Furnished,North-East,Club,Palm Grove Residency,2.0,0.0,,Co-operative Society,1190 sqft,,,690
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",62.5 Lac,62.5 Lac,Rajarhat Kolkata,775 sqft,Ready to Move,7 out of 11,New Property,Furnished,,,Lake View Residency,3.0,2.0,,Freehold,956 sqft,,,691
1 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",2.89 Cr,2.89 Cr,New Town Kolkata,181 sqm,Ready to Move,1 out of 6,New Property,Semi-Furnished,South-West,Pool,,2.0,3.0,,Freehold,2364 sqft,,,692
2 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.82 Cr,1.82 Cr,Whitefield Bangalore,1322 sqft,Ready to Move,2 out of 3,New Property,Semi-Furnished,East,Main Road,Palm Grove Residency,2.0,2.0,,Freehold,1535 sqft,,,693
1 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.6 Cr,1.6 Cr,Salt Lake Kolkata,1619 sqft,Ready to Move,12 out of 13,New Property,Unfurnished,East,Garden/Park,,2.0,2.0,,Freehold,2017 sqft,,,694
1 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.39 Cr,1.39 Cr,Thane West Mumbai,1895 sqft,Under Construction,14 out of 18,Resale,Furnished,North,Main Road,,1.0,1.0,1.0,Freehold,2055 sqft,,,695
4 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",42.5 Lac,42.5 Lac,Wakad Pune,788 sqft,Under Construction,9 out of 11,Resale,Semi-Furnished,North,Pool,,4.0,0.0,2.0,Leasehold,829 sqft,,,696
3 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.37 Cr,1.37 Cr,Wakad Pune,124 sqm,Ready to Move,3 out of 8,New Property,Semi-Furnished,North-East,Garden/Park,,3.0,2.0,0.0,Co-operative Society,1611 sqft,,,697
2 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",90.4 Lac,90.4 Lac,Gachibowli Hyderabad,96 sqm,Ready to Move,Ground out of 6,New Property,Semi-Furnished,,Club,,3.0,3.0,2.0,Power Of Attorney,,,,698
2 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.41 Cr,1.41 Cr,Wakad Pune,166 sqm,Under Construction,9 out of 23,Resale,Furnished,South-West,Pool,Palm Grove Residency,4.0,1.0,,Freehold,,,,699
1 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",79.3 Lac,79.3 Lac,Wakad Pune,871 sqft,Under Construction,20 out of 24,Resale,Unfurnished,North-East,Garden/Park,Silver Oak Residency,3.0,2.0,0.0,Power Of Attorney,928 sqft,,,700
4 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",66.5 Lac,66.5 Lac,Powai Mumbai,718 sqft,Ready to Move,12 out of 23,Resale,Semi-Furnished,South-West,Garden/Park,,3.0,2.0,1.0,Freehold,796 sqft,,,701
2 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.54 Cr,1.54 Cr,Andheri West Mumbai,1537 sqft,Ready to Move,1 out of 9,New Property,Furnished,South-West,Main Road,Palm Grove Residency,2.0,,0.0,Power Of Attorney,1822 sqft,,,702
4 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",83.8 Lac,83.8 Lac,Electronic City Bangalore,104 sqm,Ready to Move,4 out of 7,New Property,Unfurnished,South-West,,,2.0,3.0,0.0,Leasehold,1287 sqft,,,703
2 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.74 Cr,1.74 Cr,Salt Lake Kolkata,1491 sqft,Under Construction,15 out of 17,Resale,Unfurnished,South-West,,Palm Grove Residency,2.0,3.0,2.0,Power Of Attorney,1748 sqft,,,704
1 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",90.7 Lac,90.7 Lac,Miyapur Hyderabad,122 sqm,Ready to Move,2 out of 11,New Property,Unfurnished,South-West,Main Road,,4.0,3.0,1.0,Leasehold,1506 sqft,,,705
4 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.66 Cr,1.66 Cr,HSR Layout Bangalore,1352 sqft,Ready to Move,22 out of 22,New Property,Furnished,South,Garden/Park,Silver Oak Residency,4.0,1.0,,Freehold,,,,706
2 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.97 Cr,1.97 Cr,Miyapur Hyderabad,162 sqm,Under Construction,10 out of 20,New Property,Furnished,North-East,Pool,,1.0,1.0,2.0,Freehold,1973 sqft,,,707
3 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.56 Cr,1.56 Cr,Thane West Mumbai,1315 sqft,Under Construction,11 out of 24,New Property,Furnished,West,,Orchid Residency,1.0,3.0,,Co-operative Society,1447 sqft,,,708
2 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.18 Cr,1.18 Cr,Thane West Mumbai,1184 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North,Pool,Lake View Residency,2.0,0.0,,Leasehold,,,,709
2 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.35 Cr,1.35 Cr,Kondapur Hyderabad,1079 sqft,Under Construction,8 out of 20,New Property,Furnished,North,,,3.0,3.0,2.0,Power Of Attorney,1223 sqft,,,710
1 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.55 Cr,1.55 Cr,Salt Lake Kolkata,2048 sqft,Under Construction,Ground out of 2,New Property,Unfurnished,West,Club,,1.0,1.0,1.0,Power Of Attorney,2496 sqft,,,711
3 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",2.72 Cr,2.72 Cr,Powai Mumbai,214 sqm,Under Construction,6 out of 9,Resale,Furnished,West,Garden/Park,Orchid Residency,4.0,3.0,0.0,Co-operative Society,2796 sqft,,,712
2 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",37.7 Lac,37.7 Lac,Kondapur Hyderabad,43 sqm,Ready to Move,Ground out of 2,New Property,Unfurnished,South-West,Main Road,Orchid Residency,3.0,1.0,1.0,Co-operative Society,568 sqft,,,713
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",3.47 Cr,3.47 Cr,Rajarhat Kolkata,23 sqm,Under Construction,Ground out of 14,Resale,Furnished,North-East,,Green Valley Residency,4.0,3.0,1.0,Co-operative Society,,,,714
3 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",63.1 Lac,63.1 Lac,Gachibowli Hyderabad,1230 sqft,Under Construction,Ground out of 7,Resale,Unfurnished,South,Club,Orchid Residency,4.0,0.0,0.0,Co-operative Society,,,,715
2 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",64.0 Lac,64.0 Lac,Thane West Mumbai,1038 sqft,Under Construction,2 out of 22,Resale,Semi-Furnished,,Garden/Park,Orchid Residency,2.0,0.0,2.0,Power Of Attorney,1316 sqft,,,716
4 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",42.2 Lac,42.2 Lac,Sector 137 Noida,924 sqft,Ready to Move,4 out of 8,New Property,Unfurnished,,Pool,Palm Grove Residency,3.0,0.0,1.0,Freehold,1112 sqft,,,717
4 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.49 Cr,1.49 Cr,Dwarka Delhi,165 sqm,Ready to Move,21 out of 24,New Property,Unfurnished,,Club,Maple Residency,4.0,,0.0,Co-operative Society,2118 sqft,,,718
2 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",54.3 Lac,54.3 Lac,Baner Pune,32 sqm,Ready to Move,13 out of 16,Resale,Unfurnished,North-East,Main Road,,1.0,1.0,0.0,Co-operative Society,386 sqft,,,719
2 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",90.9 Lac,90.9 Lac,Powai Mumbai,93 sqm,Under Construction,16 out of 23,Resale,Semi-Furnished,North,,,2.0,3.0,0.0,Co-operative Society,1271 sqft,,,720
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.35 Cr,1.35 Cr,Vaishali Ghaziabad,804 sqft,Under Construction,5 out of 6,Resale,Furnished,North-East,Main Road,,1.0,2.0,1.0,Freehold,991 sqft,,,721
4 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.03 Cr,1.03 Cr,Salt Lake Kolkata,1288 sqft,Ready to Move,12 out of 15,New Property,Furnished,North,,,2.0,0.0,,Co-operative Society,1476 sqft,,,722
2 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.44 Cr,1.44 Cr,New Town Kolkata,871 sqft,Under Construction,6 out of 22,New Property,Semi-Furnished,South-West,Garden/Park,Royal Enclave Residency,2.0,3.0,0.0,Freehold,934 sqft,,,723
3 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.42 Cr,1.42 Cr,Baner Pune,1360 sqft,Ready to Move,6 out of 22,Resale,Unfurnished,East,,Palm Grove Residency,1.0,1.0,0.0,Leasehold,1478 sqft,,,724
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.15 Cr,1.15 Cr,Gachibowli Hyderabad,1463 sqft,Under Construction,Ground out of 1,New Property,Unfurnished,North,Club,Maple Residency,2.0,3.0,0.0,Freehold,1724 sqft,,,725
4 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.07 Cr,2.07 Cr,Whitefield Bangalore,1657 sqft,Ready to Move,6 out of 14,New Property,Semi-Furnished,,Main Road,Maple Residency,3.0,1.0,,Co-operative Society,1885 sqft,,,726
2 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",73.0 Lac,73.0 Lac,Electronic City Bangalore,762 sqft,Ready to Move,14 out of 20,New Property,Semi-Furnished,East,Pool,Royal Enclave Residency,,3.0,2.0,Power Of Attorney,874 sqft,,,727
4 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",2.19 Cr,2.19 Cr,Powai Mumbai,1729 sqft,Ready to Move,1 out of 1,New Property,Furnished,North,Pool,Royal Enclave Residency,2.0,3.0,1.0,Co-operative Society,1973 sqft,,,728
4 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.27 Cr,1.27 Cr,Gachibowli Hyderabad,1333 sqft,Ready to Move,9 out of 10,Resale,Semi-Furnished,East,Garden/Park,,1.0,,1.0,Leasehold,1681 sqft,,,729
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.73 Cr,1.73 Cr,Powai Mumbai,1436 sqft,Under Construction,16 out of 18,Resale,Unfurnished,East,Garden/Park,Green Valley Residency,2.0,2.0,1.0,Co-operative Society,,,,730
1 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.0 Cr,1.0 Cr,Vaishali Ghaziabad,887 sqft,Under Construction,11 out of 12,Resale,Unfurnished,East,,Silver Oak Residency,1.0,0.0,0.0,Power Of Attorney,1085 sqft,,,731
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",69.8 Lac,69.8 Lac,Andheri West Mumbai,969 sqft,Under Construction,7 out of 24,New Property,Furnished,South-West,Club,,3.0,0.0,,Co-operative Society,1087 sqft,,,732
2 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",46.1 Lac,46.1 Lac,Powai Mumbai,646 sqft,Under Construction,Ground out of 12,New Property,Unfurnished,North-East,Garden/Park,,4.0,3.0,1.0,Freehold,772 sqft,,,733
4 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.88 Cr,1.88 Cr,Vaishali Ghaziabad,107 sqm,Under Construction,6 out of 18,New Property,Unfurnished,North,Club,Lake View Residency,2.0,2.0,1.0,Freehold,,,,734
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.58 Cr,1.58 Cr,Andheri West Mumbai,1409 sqft,Ready to Move,2 out of 2,New Property,Furnished,South,Club,,4.0,3.0,0.0,Leasehold,1700 sqft,,,735
1 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.01 Cr,1.01 Cr,Kharadi Pune,754 sqft,Ready to Move,13 out of 13,Resale,Unfurnished,West,Club,Sunrise Residency,,3.0,,Freehold,889 sqft,,,736
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.43 Cr,1.43 Cr,Andheri West Mumbai,1929 sqft,Ready to Move,10 out of 22,Resale,Furnished,,Pool,Silver Oak Residency,4.0,2.0,1.0,Leasehold,2342 sqft,,,737
4 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.14 Cr,1.14 Cr,Electronic City Bangalore,1485 sqft,Under Construction,15 out of 23,New Property,Semi-Furnished,West,Garden/Park,Royal Enclave Residency,3.0,1.0,,Freehold,1565 sqft,,,738
1 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.86 Cr,1.86 Cr,Baner Pune,132 sqm,Under Construction,6 out of 10,Resale,Unfurnished,South-West,Main Road,,2.0,1.0,1.0,Co-operative Society,1604 sqft,,,739
1 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",46.0 Lac,46.0 Lac,Wakad Pune,60 sqm,Ready to Move,8 out of 15,Resale,Semi-Furnished,South,Pool,,1.0,1.0,0.0,Power Of Attorney,781 sqft,,,740
4 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",55.9 Lac,55.9 Lac,Sector 137 Noida,1052 sqft,Ready to Move,3 out of 7,Resale,Furnished,North,Main Road,,2.0,0.0,0.0,Leasehold,1133 sqft,,,741
2 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.42 Cr,2.42 Cr,HSR Layout Bangalore,1733 sqft,Under Construction,4 out of 6,New Property,Unfurnished,North,,Palm Grove Residency,1.0,1.0,2.0,Leasehold,1941 sqft,,,742
4 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",2.3 Cr,2.3 Cr,Kharadi Pune,1412 sqft,Ready to Move,17 out of 23,New Property,Unfurnished,South,Club,Silver Oak Residency,4.0,3.0,2.0,Power Of Attorney,1639 sqft,,,743
2 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.95 Cr,1.95 Cr,Kharadi Pune,1221 sqft,Ready to Move,4 out of 12,New Property,Furnished,North,Garden/Park,Royal Enclave Residency,1.0,3.0,,Co-operative Society,1479 sqft,,,744
1 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.66 Cr,1.66 Cr,Kharadi Pune,1083 sqft,Under Construction,6 out of 7,New Property,Furnished,East,Pool,Royal Enclave Residency,3.0,1.0,,Freehold,,,,745
1 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",26.1 Lac,26.1 Lac,Dwarka Delhi,253 sqft,Ready to Move,16 out of 20,Resale,Furnished,West,Garden/Park,,2.0,0.0,1.0,Leasehold,285 sqft,,,746
4 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",69.2 Lac,69.2 Lac,Kondapur Hyderabad,902 sqft,Under Construction,Ground out of 7,Resale,Furnished,South,,,3.0,2.0,1.0,Leasehold,991 sqft,,,747
3 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.63 Cr,1.63 Cr,Kharadi Pune,874 sqft,Ready to Move,1 out of 22,New Property,Unfurnished,East,Club,Silver Oak Residency,1.0,,1.0,Leasehold,1052 sqft,,,748
3 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",51.0 Lac,51.0 Lac,Sector 137 Noida,904 sqft,Ready to Move,8 out of 13,Resale,Furnished,North-East,Club,Maple Residency,4.0,0.0,,Co-operative Society,961 sqft,,,749
3 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",2.26 Cr,2.26 Cr,Kharadi Pune,120 sqm,Under Construction,3 out of 9,Resale,Semi-Furnished,North,Garden/Park,,2.0,,0.0,Power Of Attorney,1564 sqft,,,750
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",50.3 Lac,50.3 Lac,Rajarhat Kolkata,872 sqft,Under Construction,5 out of 10,Resale,Semi-Furnished,West,Main Road,,1.0,2.0,2.0,Power Of Attorney,999 sqft,,,751
4 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",2.38 Cr,2.38 Cr,Andheri West Mumbai,1866 sqft,Under Construction,2 out of 14,Resale,Furnished,South,Main Road,,1.0,0.0,1.0,Freehold,2330 sqft,,,752
1 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",2.86 Cr,2.86 Cr,Kharadi Pune,171 sqm,Under Construction,2 out of 6,Resale,Furnished,East,Garden/Park,,2.0,1.0,,Co-operative Society,2111 sqft,,,753
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.14 Cr,1.14 Cr,Rajarhat Kolkata,1362 sqft,Ready to Move,4 out of 4,New Property,Semi-Furnished,West,Club,,2.0,2.0,0.0,Co-operative Society,1563 sqft,,,754
3 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.18 Cr,1.18 Cr,Salt Lake Kolkata,1367 sqft,Ready to Move,15 out of 24,Resale,Semi-Furnished,North-East,Main Road,Maple Residency,2.0,1.0,0.0,Co-operative Society,1582 sqft,,,755
1 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.83 Cr,1.83 Cr,Vaishali Ghaziabad,1926 sqft,Under Construction,1 out of 1,New Property,Semi-Furnished,South-West,Pool,Royal Enclave Residency,4.0,2.0,,Power Of Attorney,,,,756
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.93 Cr,1.93 Cr,Vaishali Ghaziabad,1303 sqft,Ready to Move,1 out of 3,New Property,Unfurnished,West,,Orchid Residency,2.0,2.0,0.0,Co-operative Society,1417 sqft,,,757
1 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",2.28 Cr,2.28 Cr,Salt Lake Kolkata,183 sqm,Ready to Move,4 out of 23,Resale,Unfurnished,North-East,Main Road,Lake View Residency,4.0,0.0,2.0,Co-operative Society,,,,758
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",85.3 Lac,85.3 Lac,Andheri West Mumbai,973 sqft,Under Construction,6 out of 19,New Property,Semi-Furnished,South,Club,,,0.0,,Leasehold,1102 sqft,,,759
3 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",27.7 Lac,27.7 Lac,Whitefield Bangalore,302 sqft,Under Construction,2 out of 10,Resale,Unfurnished,South,,Sunrise Residency,1.0,2.0,1.0,Power Of Attorney,,,,760
2 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",90.9 Lac,90.9 Lac,Salt Lake Kolkata,1331 sqft,Ready to Move,15 out of 18,New Property,Furnished,South-West,Pool,Orchid Residency,3.0,1.0,0.0,Leasehold,1506 sqft,,,761
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.24 Cr,1.24 Cr,Powai Mumbai,1298 sqft,Under Construction,Ground out of 12,Resale,Unfurnished,North-East,Garden/Park,,3.0,2.0,1.0,Freehold,,,,762
2 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.74 Cr,1.74 Cr,Powai Mumbai,1483 sqft,Under Construction,2 out of 3,Resale,Unfurnished,South,Pool,,3.0,2.0,1.0,Leasehold,1841 sqft,,,763
3 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.17 Cr,1.17 Cr,Electronic City Bangalore,122 sqm,Ready to Move,6 out of 19,New Property,Furnished,North,Club,,4.0,3.0,0.0,Freehold,1679 sqft,,,764
2 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.6 Cr,1.6 Cr,Indiranagar Bangalore,1353 sqft,Under Construction,7 out of 9,Resale,Semi-Furnished,South-West,Garden/Park,,1.0,0.0,0.0,Power Of Attorney,1480 sqft,,,765
1 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",52.0 Lac,52.0 Lac,Rajarhat Kolkata,580 sqft,Under Construction,6 out of 9,New Property,Unfurnished,South,,,3.0,2.0,1.0,Freehold,720 sqft,,,766
2 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",43.1 Lac,43.1 Lac,HSR Layout Bangalore,305 sqft,Under Construction,7 out of 24,Resale,Semi-Furnished,North,Garden/Park,Green Valley Residency,1.0,0.0,1.0,Leasehold,355 sqft,,,767
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.01 Cr,1.01 Cr,Gachibowli Hyderabad,1444 sqft,Under Construction,Ground out of 1,Resale,Furnished,South,Main Road,,4.0,1.0,1.0,Co-operative Society,1826 sqft,,,768
3 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.75 Cr,1.75 Cr,Powai Mumbai,157 sqm,Ready to Move,13 out of 18,Resale,Unfurnished,North-East,,Maple Residency,3.0,3.0,1.0,Leasehold,,,,769
4 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",58.6 Lac,58.6 Lac,Kondapur Hyderabad,626 sqft,Under Construction,2 out of 10,New Property,Unfurnished,West,Garden/Park,Lake View Residency,4.0,3.0,2.0,Co-operative Society,736 sqft,,,770
3 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",Call for Price,Call for Price,Rajarhat Kolkata,1294 sqft,Ready to Move,7 out of 7,New Property,Furnished,West,Garden/Park,Maple Residency,4.0,2.0,1.0,Power Of Attorney,1428 sqft,,,771
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",98.3 Lac,98.3 Lac,Andheri West Mumbai,966 sqft,Ready to Move,1 out of 9,New Property,Semi-Furnished,North,Club,Palm Grove Residency,4.0,2.0,1.0,Freehold,1093 sqft,,,772
4 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",2.67 Cr,2.67 Cr,Sector 62 Noida,2239 sqft,Ready to Move,3 out of 8,Resale,Semi-Furnished,North-East,Pool,,1.0,1.0,2.0,Co-operative Society,2727 sqft,,,773
1 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.3 Cr,1.3 Cr,New Town Kolkata,1241 sqft,Ready to Move,2 out of 14,Resale,Furnished,South-West,Garden/Park,,4.0,3.0,2.0,Co-operative Society,,,,774
4 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.24 Cr,1.24 Cr,Kharadi Pune,1260 sqft,Ready to Move,1 out of 2,Resale,Unfurnished,North,Club,Orchid Residency,2.0,3.0,2.0,Leasehold,1359 sqft,,,775
4 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",73.6 Lac,73.6 Lac,Wakad Pune,834 sqft,Under Construction,10 out of 11,New Property,Furnished,,Pool,Lake View Residency,1.0,1.0,1.0,Power Of Attorney,1045 sqft,,,776
3 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",69.3 Lac,69.3 Lac,Sector 137 Noida,111 sqm,Ready to Move,Ground out of 7,Resale,Furnished,South-West,Garden/Park,,2.0,1.0,1.0,Co-operative Society,1509 sqft,,,777
3 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.96 Cr,1.96 Cr,Baner Pune,1446 sqft,Ready to Move,16 out of 19,Resale,Unfurnished,South-West,Main Road,Orchid Residency,3.0,3.0,0.0,Freehold,1829 sqft,,,778
2 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.52 Cr,1.52 Cr,New Town Kolkata,1060 sqft,Under Construction,3 out of 14,New Property,Semi-Furnished,North,Garden/Park,,4.0,3.0,1.0,Co-operative Society,1233 sqft,,,779
1 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.61 Cr,1.61 Cr,Baner Pune,115 sqm,Ready to Move,9 out of 12,Resale,Semi-Furnished,,Pool,Maple Residency,3.0,1.0,1.0,Power Of Attorney,1385 sqft,,,780
3 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",1.33 Cr,1.33 Cr,Sector 62 Noida,149 sqm,Under Construction,8 out of 14,New Property,Furnished,East,Pool,Palm Grove Residency,1.0,3.0,0.0,Power Of Attorney,1948 sqft,,,781
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",87.8 Lac,87.8 Lac,Gachibowli Hyderabad,1611 sqft,Ready to Move,1 out of 6,Resale,Semi-Furnished,North-East,Pool,Orchid Residency,3.0,,,Power Of Attorney,1866 sqft,,,782
4 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.88 Cr,1.88 Cr,Indiranagar Bangalore,1707 sqft,Ready to Move,5 out of 5,New Property,Unfurnished,,Pool,Green Valley Residency,2.0,3.0,2.0,Co-operative Society,1907 sqft,,,783
